id,C_1,C_2,C_3,C_4,phi_21,phi_31,phi_41,[Fe/H],BV_0,log T_eff,M_v,log L,mass,log g
V002,0.20638731474168043,0.0970196377390435,0.04829991035120642,0.030584536607046013,4.046632086041298,1.8930449828118654,6.240988316469434,-2.160550175863846,0.3784147650139872,3.7930265944344494,0.5397299984044542,1.7161080006382181,0.6287952093775911,2.6475076013701138
V006,0.3336457954055225,0.1525273642936394,0.10405634024120132,0.08358070173450728,3.8966079513340306,1.906543566371365,0.003372928045382473,-2.043742200508997,0.3526958632763999,3.8021257366214365,0.46021230578539685,1.7479150776858412,0.6506411833533136,2.6669294179655783
V008,0.32315542391821783,0.1522313927519622,0.1223126242319797,0.08675712227236627,3.7700679736362273,1.6474529480015718,5.791764000229955,-2.285545629956003,0.3588542308687185,3.7984501182505808,0.511907389242331,1.7272370443030678,0.6606038516369587,2.6795045302069376
V009,0.28446147933961113,0.13049925204250332,0.08591266516783135,0.04691135524341969,3.9834488037543365,2.035646076416282,0.27839646196944123,-2.135845541670408,0.36863218802389,3.796349516664615,0.44412838637242147,1.7543486454510315,0.6328925276424416,2.6253793893376365
V012,0.31897397538918915,0.11858019485266597,0.07513701192997672,0.036859713456408455,3.6641479773772554,0.9942096075694771,5.921373715481378,-2.8763171804821077,0.3392664123248987,3.800621994968008,0.5482358925593819,1.7127056429762473,0.6742579429893631,2.7116084081885017
V013,0.37273044530772176,0.1586098677434463,0.11471278728633705,0.08504011041995475,3.8271299985922127,1.3381772303567558,5.470792193400706,-2.3167790976786273,0.33151072508029267,3.8070360928403955,0.543546672812814,1.7145813308748743,0.6844489446890003,2.741904098702811
V015,0.27610552088164425,0.1061678606762163,0.05738832660390479,0.03276745573202623,4.5552677251244775,1.0873700882389903,1.9420874767971075,-2.7052689463389195,0.3463012057524054,3.7995541291233534,0.5950449675151035,1.6939820129939587,0.6685317759603611,2.722356558023817
V019,0.4674647270813492,0.20037999418627295,0.15343137389506056,0.10155802842464651,3.7763420482745413,1.5500189030954274,5.9717281125549615,-2.0178033495259227,0.3128307434255991,3.8151438771702755,0.4693317002736903,1.744267319890524,0.6962519742858954,2.7520746284556736
V020,0.3005990163195898,0.14924872161034852,0.10986659878200374,0.05568056307120005,4.011631696746195,1.9681789471367663,0.18106526667686929,-2.1277525305039946,0.3684695548969006,3.7964585356096703,0.46625037986624507,1.7454998480535022,0.6421576288393891,2.6409759407288345
V021,0.3424173962545827,0.13032317645713734,0.09914474179787791,0.10853463296508596,3.8571769457659335,2.057295441824266,6.075956423603294,-1.7480971510285466,0.3463611137948198,3.806235041300868,0.4673645007645639,1.7450541996941744,0.6518487795206583,2.6870328222275326
V022,0.30311065103182966,0.1309270598176749,0.07425064249972976,0.035609741532442556,4.003933097704157,1.9706708969154825,0.0843850346330779,-2.249926556817239,0.3599438713572658,3.79834858752524,0.4073415723658473,1.7690633710536612,0.6325390982713582,2.618418354173741
V023,0.24897027215091155,0.07319687889348243,0.05719051425098149,0.0273696513127284,3.4401327839264515,1.250961590755825,6.1628444268576,-2.745790227486453,0.3612553210563061,3.7944552550274646,0.5616006366362256,1.7073597453455096,0.6529460401696753,2.678338567180546
V025,0.28735603110221875,0.13408190099764772,0.11296020567217319,0.06444481860379327,3.886452713853143,1.9754264244909239,0.021208696866130694,-1.9473348526043468,0.36970744023161545,3.7973228602771893,0.5219790779941988,1.7232083688023205,0.6476035186073315,2.670392272035082
V029,0.4063071758489322,0.17983327298197513,0.07388763576546098,0.039466296865385386,3.761016384293028,1.0097979511450825,4.459552787846443,-2.7590152139826847,0.30905441863442684,3.8111713707018358,0.47099868295663344,1.7436005268173467,0.685325458479388,2.729981821284337
V032,0.19520724764584788,0.06555067416238763,0.0055852052918652535,0.006401600992027233,3.62050258814688,6.073632631108393,1.9964383696280237,3.88847136046007,0.3593295177738209,3.8415151948000505,0.6175538731940677,1.684978450722373,0.5805717542220763,2.8379382313412265
V033,0.29146223494797185,0.15217968358729841,0.10251293678448674,0.0577901148658856,3.72402525419068,1.5034232484265528,5.375865969358955,-2.14322685546316,0.35465222859136386,3.800799394405339,0.6149428333711957,1.686022866651522,0.6710818072899195,2.7369501764279196
V035,0.2314952982289223,0.005959965400915484,0.014565386845726239,0.012282752804513665,2.3397168576158736,3.984862773755504,3.308086264103812,0.9752782020080133,0.3531713860444364,3.8231057611077475,0.5574069746634693,1.7090372101346123,0.6082758782307227,2.7604864287323334
V036,0.36877200692220263,0.16277599732235826,0.10364273172405408,0.09187882027903617,3.6365867467228363,1.3356686306841796,5.2304175772271915,-2.5856452201447873,0.3362487761914434,3.803628377525342,0.47211561791215817,1.7431537528351366,0.6706165629841943,2.6908340327589872
V044,0.2644454895976864,0.07936678005346143,0.05730274157169489,0.04511870015922517,4.117059703800474,1.4667560821625258,5.965683777305234,-2.2558130349587575,0.3514942992212401,3.8010281444060494,0.5929074086344299,1.6948370365462282,0.6592920596015237,2.7213533862862427
V045,0.26145684432507454,0.15254469034753107,0.092018736022036,0.11035135894790436,3.9147719221213495,1.7249515175184342,0.009386494273403656,-2.3494160748598443,0.37315574158549164,3.7933979386854526,0.5201097844389164,1.7239560862244336,0.6435177995992601,2.651196232439725
V046,0.30950646529496734,0.1410521996352414,0.07103992897057594,0.10036264949336385,4.437342361551002,1.943736631183027,5.646057095007353,-2.1308800235357612,0.3536532283470263,3.801207500307507,0.43053136341695275,1.7597874546332188,0.6381102800152253,2.6429382877995558
V047,0.2986390481664448,0.10632618675151653,0.08717243735461082,0.06336489048377912,4.141437587188344,1.9651740888804108,0.5632791781085418,-2.081029994267702,0.3613177148020773,3.7990884858738574,0.46096466393889896,1.7476141344244405,0.6402363588467241,2.6480801430436216
V049,0.17314641467165143,0.08446537529963141,0.06830336275702917,0.046930262324921306,3.9287638802373723,2.0033545343384898,5.879793980006955,-1.8551236688941053,0.3911110696633456,3.7910763698861443,0.6300725029685464,1.6799709988125815,0.6334300646362092,2.6790331532755296
V052,0.36039459479516545,0.1497227236376436,0.1466253034338587,0.12040511604374883,3.6019040891851835,1.5175831365149444,6.003601661473139,-2.079486905574681,0.3448282519309033,3.8044088945392263,0.5829792340708629,1.6988083063716548,0.6858776179815436,2.7480739026861514
V055,0.22152374459763666,0.10868097712778438,0.07068330350659052,0.020657251559430014,4.140098123059746,2.5102145315016893,0.8279080983118092,-1.6776549622201609,0.38761436336105504,3.7934445902621996,0.46733570156301824,1.7450657193747925,0.6136212980393579,2.609613066703009
V056,0.31221658542712005,0.12707892035880908,0.05701784806672709,0.07205805836232487,3.6405712919784454,0.979690112488151,4.552390691996404,-2.773860315778525,0.3328803034746376,3.8033955200707172,0.572871222094484,1.7028515111622062,0.6764903896571487,2.7339922004334394
V060,0.20501577114551559,0.1152203590168138,0.06591933881087035,0.04072048707881308,3.839868757599919,2.444389922630327,6.253364369825215,-1.6044648862751725,0.3880307416869866,3.7938228469728643,0.515839974988401,1.7256640100046396,0.6175775333730879,2.633318866461959
V063,0.3562851877676697,0.04322820903287879,0.12255503956992551,0.05117444902609548,4.046546935559282,1.5371631219287245,5.89907294852544,-2.4374058369996234,0.3486384965483009,3.8006765632524497,0.47291974233124273,1.742832103067503,0.6647656185702324,2.675542699750615
V065,0.22808367936304055,0.09330872313475017,0.061592429490496016,0.029665359168040292,4.168554978753113,1.7695149224166773,0.6992666320791798,-2.5095283567540845,0.37948671260788625,3.790238580042982,0.4861306911207374,1.737547723551705,0.6280988979665851,2.6144346280318587
V069,0.08796900826460435,0.052919542202995676,0.024406590273219435,0.011948278404922337,3.207126326608347,0.5145723752527651,3.187911153560899,-3.488511355994019,0.3958576781088625,3.7781142481569883,0.782519812828015,1.6189920748687938,0.6561359414777587,2.7034587457282235
V072,0.12317680766710097,0.06687089613542152,0.01655896036412866,0.025215509089437503,5.5343467167211875,3.656765855607694,0.2790076604461724,0.20097961390361263,0.39539659324537146,3.804089154272316,0.6076756253851205,1.688929749845952,0.5935412460892238,2.6938777713705466
V078,0.31748843317657577,0.10559872604789976,0.11788714902040218,0.1103086796375041,3.9271083767023858,1.538915583181991,6.268723607157641,-2.531386255393401,0.36164967324866126,3.795829101426177,0.49182479300331144,1.7352700827986756,0.657214903419452,2.658753726116169
V097,0.25579356635396694,0.12113222872661769,0.09071074397834017,0.06510740574702521,3.8544801611782047,1.9436804498069566,6.224970257011322,-2.157444233689211,0.3768098131635326,3.793565130525518,0.5031146825347044,1.7307541269861182,0.6361808142796521,2.64008696278243
V102,0.16860597109607792,0.0387020142060787,0.02826736554997496,0.0203631822604025,4.318196612237696,1.5067401768106556,0.251042172860676,-3.085094032562062,0.39291556903599245,3.781885528542476,0.4822192307864145,1.7391123076854342,0.6153658975034826,2.570563231225881
V103,0.25682995837837963,0.03833117219423611,0.026522980586908548,0.026459340257025794,4.234026739270739,3.0462181941334965,1.3321817795303996,-0.06765464055983372,0.3432137040195353,3.819011604821791,0.592791964954464,1.6948832140182144,0.6337716291811719,2.776095999344056
V123,0.01317092048612606,0.0073024867042513755,0.0023058209992523116,0.005905243273192347,3.169923460610338,2.521642109745984,0.07650165173338763,-1.4833456448797104,0.4290741036335114,3.7814547191158514,0.6893957094250832,1.6562417162299667,0.5936944896571097,2.6361401782977545
